OID_,WellName,Zm,Xm,Ym
539,15-12,705.472,327136.011,4406036.534
540,15-12,704.472,327135.996,4406036.547
541,15-12,703.473,327135.981,4406036.56
542,15-12,702.473,327135.965,4406036.573
543,15-12,701.473,327135.949,4406036.587
544,15-12,700.473,327135.934,4406036.6
545,15-12,699.473,327135.918,4406036.614
546,15-12,698.474,327135.902,4406036.628
547,15-12,697.474,327135.886,4406036.642
548,15-12,696.474,327135.87,4406036.657
549,15-12,695.474,327135.854,4406036.671
550,15-12,694.475,327135.838,4406036.686
551,15-12,693.475,327135.822,4406036.701
552,15-12,692.475,327135.806,4406036.715
553,15-12,691.475,327135.79,4406036.729
554,15-12,690.476,327135.773,4406036.744
555,15-12,689.476,327135.757,4406036.758
556,15-12,688.476,327135.741,4406036.772
557,15-12,687.476,327135.724,4406036.786
558,15-12,686.476,327135.708,4406036.8
559,15-12,685.477,327135.692,4406036.814
560,15-12,684.477,327135.675,4406036.828
561,15-12,683.477,327135.658,4406036.842
562,15-12,682.477,327135.642,4406036.856
563,15-12,681.478,327135.625,4406036.87
564,15-12,680.478,327135.609,4406036.884
565,15-12,679.478,327135.592,4406036.898
566,15-12,678.478,327135.575,4406036.912
567,15-12,677.479,327135.558,4406036.925
568,15-12,676.479,327135.541,4406036.939
569,15-12,675.479,327135.524,4406036.953
570,15-12,674.479,327135.507,4406036.966
571,15-12,673.48,327135.49,4406036.979
572,15-12,672.48,327135.473,4406036.993
573,15-12,671.48,327135.456,4406037.006
574,15-12,670.48,327135.438,4406037.019
575,15-12,669.48,327135.421,4406037.032
576,15-12,668.481,327135.404,4406037.045
577,15-12,667.481,327135.386,4406037.058
578,15-12,666.481,327135.369,4406037.071
579,15-12,665.481,327135.351,4406037.084
580,15-12,664.482,327135.334,4406037.097
581,15-12,663.482,327135.317,4406037.11
582,15-12,662.482,327135.299,4406037.122
583,15-12,661.482,327135.282,4406037.135
584,15-12,660.483,327135.265,4406037.147
585,15-12,659.483,327135.248,4406037.159
586,15-12,658.483,327135.231,4406037.171
587,15-12,657.483,327135.214,4406037.183
588,15-12,656.483,327135.198,4406037.194
589,15-12,655.484,327135.181,4406037.206
590,15-12,654.484,327135.165,4406037.217
591,15-12,653.484,327135.149,4406037.228
592,15-12,652.484,327135.133,4406037.239
593,15-12,651.484,327135.117,4406037.25
594,15-12,650.485,327135.102,4406037.261
595,15-12,649.485,327135.086,4406037.271
596,15-12,648.485,327135.071,4406037.281
597,15-12,647.485,327135.055,4406037.291
598,15-12,646.485,327135.04,4406037.301
599,15-12,645.485,327135.025,4406037.31
600,15-12,644.486,327135.01,4406037.32
601,15-12,643.486,327134.995,4406037.329
602,15-12,642.486,327134.98,4406037.339
603,15-12,641.486,327134.966,4406037.348
604,15-12,640.486,327134.951,4406037.357
605,15-12,639.486,327134.937,4406037.366
606,15-12,638.486,327134.923,4406037.375
607,15-12,637.487,327134.908,4406037.383
608,15-12,636.487,327134.894,4406037.391
609,15-12,635.487,327134.88,4406037.399
610,15-12,634.487,327134.866,4406037.407
611,15-12,633.487,327134.852,4406037.415
612,15-12,632.487,327134.839,4406037.423
613,15-12,631.487,327134.825,4406037.43
614,15-12,630.487,327134.812,4406037.438
615,15-12,629.488,327134.798,4406037.445
616,15-12,628.488,327134.784,4406037.452
617,15-12,627.488,327134.771,4406037.459
618,15-12,626.488,327134.757,4406037.465
619,15-12,625.488,327134.744,4406037.472
620,15-12,624.488,327134.73,4406037.478
621,15-12,623.488,327134.717,4406037.484
622,15-12,622.488,327134.703,4406037.49
623,15-12,621.488,327134.69,4406037.496
624,15-12,620.489,327134.676,4406037.502
625,15-12,619.489,327134.663,4406037.508
626,15-12,618.489,327134.65,4406037.514
627,15-12,617.489,327134.636,4406037.519
628,15-12,616.489,327134.623,4406037.525
629,15-12,615.489,327134.609,4406037.53
630,15-12,614.489,327134.596,4406037.535
631,15-12,613.489,327134.583,4406037.54
632,15-12,612.489,327134.57,4406037.545
633,15-12,611.489,327134.556,4406037.549
634,15-12,610.49,327134.543,4406037.554
635,15-12,609.49,327134.53,4406037.558
636,15-12,608.49,327134.517,4406037.562
637,15-12,607.49,327134.504,4406037.566
638,15-12,606.49,327134.491,4406037.57
